ID,Q1[01] [01  Overall quality of police pr,Q1[02] [02  Overall quality of sheriff p,Q1[03] [03  Overall quality of fire and,Q1[04] [04  Response time for fire servi,Q1[05] [05  Overall quality of EMS servi,Q1[06] [06  Response time for EMS servic,Q1[07] [07  Overall maintenance of City,Q1[08] [08  Overall ease of travel withi,Q1[09] [09  Overall quality of the publi,Q1[10] [10  Overall quality of bicycle f,Q1[11] [11  Overall quality of pedestria,Q1[12] [12  Overall quality of water and,Q1[13] [13  Overall enforcement of codes,Q1[14] [14  Overall quality of customer,Q1[15] [15  Overall quality of customer,Q1[16] [16  Overall effectiveness of com,Q1[17] [17  Overall quality of parks and,Q1[18] [18  Overall quality of library s,Q1[19] [19  Overall quality of services,Q1[20] [20  Overall quality of public he,Q1[21] [21  Overall quality of tax admin,Q1[22] [22  Overall quality of public sc,Q1[23] [23  Overall quality of charter s,Q1[24] [24  Overall quality of private s,Q2[01]  [1st:],Q2[02]  [2nd:],Q2[03]  [3rd:],Q3[01]  [1  Overall quality of services,Q3[02]  [2  Overall quality of services,Q3[03]  [3  Overall appearance of Durham,Q3[04]  [4  Overall management of develo,Q3[05]  [5  Overall image of Durham],Q3[06]  [6  Overall quality of life in D,Q3[07]  [7  Overall quality of life in y,Q3[08]  [8  Overall value you receive fo,Q4[01]   [M1 children are enrolled in Du,Q4[02]   [M2 children are enrolled in a,Q4[03]   [M3 children are enrolled in a,Q4[04]   [M4 children go to school outsi,Q4[05]   [M5 children went to or graduat,Q4[06]   [M6 children went to or graduat,Q4[07]   [M7 children went to or graduat,Q4[08]   [M8 children went to or graduat,Q4[09]   [M9 children are homeschooled],Q4[10]   [This question does not appl10,Q5[01] [1  Manages the education budget,Q5[02] [2  Attracts high quality teacher,Q5[03] [3  Is transparent about educatio,Q5[04] [4  Encourages community involvem,Q5[05] [5  Ensures quality education for,Q5[06] [6  Has effective leadership in K,Q6[01]   [1  When walking alone in your,Q6[02]   [2  When walking alone in your,Q6[03]   [3  In downtown Durham],Q6[04]   [4  In Durham overall],Q6[05]   [5  When using City recreation,Q6[06]   [6  When visiting City parks],Q6[07]   [7  When engaging with Law Enfo,Q7[01]  [1  Overall police relationship,Q7[02]  [2  Overall Sheriff's Office rel,Q7[03]  [3  Animal Control services],Q7[04]  [4  Enforcement of traffic safet,Q7[05]  [5  Local court system],Q8  How satisfied are you with the avail,Q9[01]  [1  Do your monthly housing cost,Q9[02]  [2  Are you able to find housing,Q9[03]  [3  Do you have major home repai,Q10[01] [01  Greenways and trails],Q10[02] [02  Outdoor athletic fields and,Q10[03] [03  Customer service provided b,Q10[04] [04  Public art],Q10[05] [05  Cultural programming],Q10[06] [06  Length of commute to your d,Q10[07] [07  Variety of City recreation,Q10[08] [08  Recreation center programs],Q10[09] [09  Athletic programs],Q10[10] [10  Aquatic programs],Q11[01] [1  Current state of race relati,Q11[02] [2  Progress addressing racial e,Q12[01] [01  Condition of streets in you,Q12[02] [02  Condition of sidewalks in y,Q12[03] [03  Condition of bicycle facili,Q12[04] [04  Appearance of landscaping o,Q12[05] [05  Condition of parks and open,Q12[06] [06  Condition of recreation cen,Q12[07] [07  Overall appearance of major,Q12[08] [08  Condition of public school,Q12[09] [09  Condition of trails and gre,Q12[10] [10  Condition of public art],Q12[11] [11  Condition of aquatic facili,Q12[12] [12  Condition of parking],Q12[13] [13  The amount of litter in you,Q13[01]   [1st:],Q13[02]   [2nd:],Q13[03]   [3rd:],Q14[01]  [1  Ease of travel by walking],Q14[02]  [2  Ease of travel by biking],Q14[03]  [3  Ease of travel by bus withi,Q14[04]  [4  Ease of travel by bus to pl,Q14[05]  [5  Quality of downtown parking,Q14[06]  [6  The ability in your neighbo,Q15[01]  [1  Solid waste collection serv,Q15[02]  [2  Curbside recycling services,Q15[03]  [3  Yard waste (leaves/tree lim,Q15[04]  [4  City Waste Disposal and Rec,Q15[05]  [5  County Solid Waste Convenie,Q15[06]  [6  Quality of drinking water],Q15[07]  [7  Sewer services],Q15[08]  [8  Overall management of publi,Q15[09]  [9  Stream and lake protection],Q16[01]  [Durham residents learn about n,Q16[02]  [It is easy for residents to ha,Q16[03]  [The character of Durham's neig,Q16[04]  [Durham should have more racial,Q16[05]  [I would like to have shopping,Q16[06]  [I would be OK with a greater v,Q18  Have you voted in the past 5 years?,Q18a  How would you rate your overall sa,Q19  City or County residents,Q19a[01]  [1  Availability of informatio,Q19a[02]  [2  Ease of locating informati,Q19a[03]  [3  Your experience engaging w,Q19a[04]  [4  Level of public involvemen,Q19a[05]  [5  City efforts to keep you i,Q19b  During the past year  have you con,Q19c[01]  [1  How easy the City governme,Q19c[02]  [2  Courtesy of city employee(,Q19c[03]  [3  Accuracy of the informatio,Q19c[04]  [4  Appropriateness of city em,Q19c[05]  [5  Timeliness of City employe,Q19c[06]  [6  The resolution of your iss,Q20a[01]  [1  Availability of informatio,Q20a[02]  [2  Ease of locating informati,Q20a[03]  [3  Your experience engaging w,Q20a[04]  [4  Level of public involvemen,Q20a[05]  [5  County efforts to keep you,Q20a[06]  [6  Your ability to receive ti,Q20b  During the past year  have you con,Q20c[01]   [1  How easy the county gover,Q20c[02]   [2  Courtesy of county employ,Q20c[03]   [3  Accuracy of the informati,Q20c[04]   [4  Appropriateness of county,Q20c[05]   [5  Timeliness of county empl,Q20c[06]   [6  The resolution of your is,Q21[01] [Cit1 website (DurhamNC gov)],Q21[02] [Cit2 Twitter feed],Q21[03] [Cit3 Facebook page],Q21[04] [Count4 Website (DCONC gov)],Q21[05] [Count5 Twitter feed],Q21[06] [Count6 Facebook page],Q21[07] [Nextdoor],Q21[08] [Cit8 of Durham TV show],Q21[09] [Durham Count9 TV show],Q21[10] [Mailings or other direct contac,Q21[11] [Mailings or other direct contac,Q21[12] [Traditional media (TV  newspape,Q21[13] [Friends/colleagues/word of mout,Q21[14] [Other],Q22  Please select the top 3 focus areas,Q22G1[01]  [Provide tools and resources,Q22G1[02]  [Establish rules encouraging,Q22G1[03]  [Connect residents to qualit3,Q22G1[04]  [Provide job training for res,Q22G1[05]  [Build and maintain relations,Q22G2[01] [Coordinate with other agencie,Q22G2[02] [Build relationships and trust,Q22G2[03] [Hold communit3 events where r,Q22G2[04] [Recognize and support the uni,Q22G2[05] [Recruit and keep dedicated pu,Q22G2[06] [Continue prioritizing crime r,Q22G3[01]  [Enhance communit1 engagement,Q22G3[02]  [Continue to build affordable,Q22G3[03]  [Provide opportunities for re,Q22G3[04]  [Connect residents with local,Q22G3[05]  [Close the gap between reside,Q22G3[06]  [Use art and cultural experie,Q22G4[01]   [Continue to replace gas-pow,Q22G4[02]   [Manage and preserve tree ca,Q22G4[03]   [Continue to transition Cit3,Q22G4[04]   [Reduce the amount of trash,Q22G4[05]   [Maintain and improve existi,Q23  Have you or someone in your househo,Q24[01] [01  As a place to live],Q24[02] [02  As a place to work],Q24[03] [03  As a place to play],Q24[04] [04  As a place to raise childre,Q24[05] [05  As a place to educate child,Q24[06] [06  As a place to retire],Q24[07] [07  As a place to visit],Q24[08] [08  As a place to start a busin,Q24[09] [09  As a community that is movi,Q24[10] [10  As a community that values,Q25[01]  [Affordable housing],Q25[02]  [Street maintenance],Q25[03]  [Sidewalk construction],Q25[04]  [Universal Pre-K],Q25[05]  [Social services],Q25[06]  [6outh programming],Q25[07]  [Job creation/training],Q25[08]  [Communit8-led safet8 initiativ,Q25[09]  [Law enforcement-led safet9 ini,Q25[10]  [Public school operations (teac,Q25[11]  [Court services],Q25[12]  [Other],Q25[13]  [I would not increase funding f,Q26  How willing would you be to pay fee,Q27  Approximately how many years have y,Q28  What is your age?,Q29  What is your gender?,Q29-4  Other,Q30  Do you own or rent your current res,Q31  Are you of Hispanic  Latino  or oth,Q32[01]  [Asian or Asian Indian],Q32[02]  [Black or African American],Q32[03]  [American Indian or Alaska Nati,Q32[04]  [White],Q32[05]  [Native Hawaiian or other Pacif,Q32[06]  [Other],Q32-6  Self-describe your race/ethnicity,Q33  Would you say your total annual hou,Zip,PAC,Inside City of Durham,Block Lon,Block Lat
11,3,9,9,9,9,9,4,4,3,4,3,4,3,9,9,5,5,4,4,4,9,9,9,9,1,8,9,4,3,4,3,4,4,5,4, , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,9,4,4,4,4,9,9,9,3,3,5,3,3,4,4,9,4,9,4,4,9,4,4,12,9,5,4,3,9,9,4,5,5,5,5,9,9,5,4,4,4,3,2,5,1,4,6,1,5,1,5,9,9,4,5,2, , , , , , ,9,9,9,9,3,3,2, , , , , , , , , , , , , , , ,10, , , ,14, ,1, , ,4,5,1,2, , , ,6, ,2,3, ,5, ,1,2, , ,5,2,5,5,4,4,3,4,5,4,4,5,1, ,3,4, , , , , ,10, , , ,2,10,2,2, ,2,1, , , ,4, , , ,2,27704,PAC 2,YES,-78904000,36024000
12,4,4,5,9,4,4,1,4,9,9,2,9,9,4,4,4,9,9,9,4,4,4,4,9,4,7,11,4,4,4,3,4,4,5,3, , , , ,5, , , , , ,4,4,4,4,4,4,5,5,4,4,9,9,5,4,4,9,4,4,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,9,4,4,9,3,2,4,4,9,2,2,1,2,7,4,4,9,9,2,4,4,4,4,4,9,4,4,4,4,1,2,6,5,3,4,1,4,1,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,2, , , , , , ,1, , ,4, , , , , , , ,12, , , , , ,3,4,5,1, , , ,5,6, ,2, , ,5,6,1, ,3, ,5,2,5,5,5,5,5,5,5,5,5,5,1,2,3, , , ,7, , ,10, , , ,3,50,5,1, ,1,2, ,2, , , , , ,9,27712,PAC 2,YES,-78871000,36118000
13,4,4,9,9,9,9,4,2,2,2,2,4,9,4,4,4,4,5,3,3,9,9,9,9,9,8,17,4,4,4,2,4,3,4,9, , , , , , , , , ,10,9,9,9,9,9,9,5,5,4,4,9,4,9,3,3,4,2,9,1,9,9,9,4,9,9,9,9,4,3,9,9,9,3,3,4,2,3,4,2,9,3,9,9,9,2,2,4,6,11,10,4,9,2,2,4,4,4,4,4,9,9,4,9,4,9,3,2,4,6,5,1,1,5,1,2,3,9,2,2,2, , , , , , ,2,9,9,9,2,9,2, , , , , , ,1, ,3, , , , , , , , , ,13, , , , ,3,4, ,1, , , ,5, , ,2, ,4, ,6, , , , ,5,2,4,3,4,4,4,4,4,9,4,4,1, , ,4,5, ,7, , ,10, , , ,2,0,1,3, ,1,2, , , ,4, , , ,2,27705,PAC 2,YES,-78926000,36068000
14,4,4,4,4,4,4,4,9,2,2,2,4,3,5,5,4,4,4,9,4,4,9,9,9,9,8,11,4,4,3,4,4,4,4,4, , , , , , , , , ,10,9,9,9,9,9,9,5,4,3,4,4,4,3,3,3,4,4,4,2,2,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,7,5,1,2,2,2,2,3,3,5,5,5,5,5,4,4,3,3,1,5,6,4,2,3,1,5,1,4,4,4,4,4,1,4,5,5,5,5,5,4,4,4,4,4,4,2, , , , , , ,1, , ,4, , ,7,8,9,10,11,12, , , ,1, ,3,4, ,1,2, ,4, , , ,2, ,4,5, ,1,2,3, , ,2,4,4,4,3,3,4,4,4,4,5,1,2, , ,5, , ,8, ,10, , , ,4,5,1,1, ,1,2, ,2, , , , , ,4,27709,PAC 4,YES,-78837000,35929000
15,1,1,3,4,3,2,3,3,9,5,4,4,9,1,3,3,4,9,1,2,2,1,4,4,22,2,6,1,1,3,1,1,3,4,1, , , , ,5, , , , , ,1,1,1,1,1,1,5,5,3,3,9,9,5,9,1,3,1,1,4,2,1,1,9,3,3,5,5,3,9,9,1,3,2,5,4,9,4,3,3,3,2,1,3,9,9,1,5,8,12,7,4,9,9,9,2,5,9,3,1,3,4,4,4,4,4,1,2,3,6,4,5,1,5,2, , , , , ,2, , , , , , ,2,3,1,2,1,3,1,1,1,2,1,1,2, , , , , , , , , , , ,12,13, , , ,2,3,4, , , , ,4,5,6, , , ,4, , , , , , ,5,1,4,4,3,1,1,2,3,3,1,4, ,2, , , , , ,8,9,10, , , ,2,80,5,1, ,1,2,1, , , , , , ,9,27712, ,NO,-78955000,36076000
16,3,3,3,4,3,3,2,2,9,1,2,2,3,9,2,4,1,4,9,9,3,9,9,9,17,18,10,2,9,2,3,2,1,2,2, , , , , , , , , ,10,9,9,9,9,9,9,4,2,2,2,4,2,3,3,9,3,2,9,2,2,1,2,1,1,2,1,1,4,2,2,2,1,4,1,4,2,1,2,1,1,2,2,1,1,1,4,2,5,9,13,1,1,3,3,4,2,4,9,9,1,9,1,2,4,4,5,6,4,3,2,1,1,4,1,3,4,3,2,2,2, , , , , , ,3,3,3,3,3,9,2, , , , , , , , ,3, , ,6,7, , , , , , , , , , ,3,4,5,1,2, , , ,6, ,2, ,4,5, ,1,2, ,4, ,2,2,2,1,2,2,4,2,2,2,2,1, , ,4, ,6,7, , ,10, , , ,3,2,1,2, ,2,2, ,2, , , , , ,4,27707,PAC 3,YES,-78996000,35961000
17,4,4,4,9,4,9,2,2,9,3,3,4,4,4,9,4,4,4,9,9,9,9,9,9,22,7,11,4,4,4,3,3,3,2,3, , , , , , , , , ,10,9,9,9,9,9,9,3,2,3,2,9,5,5,4,9,5,4,9,9,1,9,2,4,4,3,4,4,3,4,9,9,9,3,3,2,1,9,3,4,3,3,9,4,4,9,3,3,99, , ,9,9,9,9,4,1,4,4,4,5,9,3,4,4,9,4,5,6,3,1,2,2, ,1,5,5,9,5,4,1,5,9,5,9,9,5,5,5,9,9,3,4,2, , , , , , ,1, , , , , , , , ,10, , , , , ,1,2, ,4, , , ,3, , ,6, ,2, ,4, ,6, ,2, ,4,5,1,4,2,3,3,9,1,3,4,4,5, ,2,3, , , , , , ,10, , , ,3,3,1,1, ,1,2, , , ,4, , , ,1,27704,PAC 2,YES,-78867000,36037000
18,9,9,9,9,9,9,4,4,5,4,4,4,4,4,9,9,4,4,4,4,3,3,9,9,99, , ,4,4,4,4,4,4,4,9,1, , , ,5, , , , , ,9,4,9,4,4,9,4,4,4,4,9,4,4,9,9,4,4,9,9,2,9,9,4,4,9,4,9,9,9,9,9,9,9,9,4,4,9,4,4,4,4,4,4,9,4,4,9,5, , ,4,9,4,9,9,4,4,4,9,4,4,4,4,4,4,3,2,5,6,4,1,2, ,1,9,4,9,9,4,2, , , , , , ,4,4,9,9,4,4,2, , , , , , ,1, , , , , , , , , , , , , , ,1, ,3,4, , , , ,4,5,6, ,2, , ,5, ,1,2,3, , ,9,4,4,4,4,4,4,4,9,4,4, , , , , , ,7, , ,10, , , ,2,20,2,1, ,2,2, , , ,4, , , ,9,27705,PAC 3,YES,-78974000,36018000
19,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,1,9,9,22,11,17,4,4,4,3,5,3,3,2, , , , , , , , , ,10,9,9,9,9,9,9,9,9,3,4,9,4,4,4,4,4,2,9,2,2,1,2,3,3,2,3,3,2,3,3,3,3,3,3,4,1,3,3,3,3,3,1,3,3,3,3,9,8,2,9,1,3,3,3,3,1,4,4,9,4,9,4,4,3,3,5,4,6,1,3,2,1,5,1,3,3,3,3,3,1,4,9,9,9,9,9,4,3,9,3,4,4,2, , , , , , , , , , , , , , , ,10,11, , ,14, , , ,3,4,5,1,2, , ,5, , ,2, ,4,5, ,1,2, , ,5,2,4,9,4,3,2,3,3,3,3,4, , ,3,4, ,6,7, , ,10, , , ,3,7,1,1, ,1,2,1, , , , , , ,4,27707,PAC 3,YES,-78961000,35951000
20,4,4,9,9,9,9,2,2,2,2,4,5,4,5,9,4,5,9,9,4,9,9,9,9,9,8,11,4,9,4,4,5,4,5,9, , , , , , , , , ,10,9,9,9,9,9,9,5,4,5,3,5,5,5,4,4,9,2,9,9,2,1,2,4,9,9,5,5,4,5,9,9,9,4,4,5,4,4,5,5,5,4,2,4,5,9,4,1,13,2,8,5,1,2,1,5,4,5,5,9,3,9,5,5,3,2,5,4,6,1,3,2,1,5,1,4,3,4,5,3,1,4,5,5,5,1,2,4,3,4,5,3,5,2, , , , , , ,1, , ,4, , , , , , , ,12,13, , , , ,3,4, ,1,2, , ,5, , ,2, , ,5,6, ,2, ,4,5,1,5,4,5,9,9,9,5,9,4,4, , ,3,4,5, ,7, , ,10, , , ,3,3,1,1, ,2,1, , , ,4, , , ,4,27701,PAC 5,YES,-78911000,35997000
21,9,9,9,9,9,9,4,3,3,4,4,4,9,4,4,4,4,5,9,9,9,9,9,9,9,22,11,4,4,3,3,4,3,3,9, , , , , , , , , ,10,9,9,9,9,9,9,4,2,4,4,4,4,3,3,3,9,4,9,2,1,2,2,4,9,9,4,4,4,4,4,9,9,3,3,4,3,9,3,4,9,3,9,4,4,9,4,2,8,2,12,3,9,2,2,3,2,4,4,9,9,9,4,4,9,9,3,4,6,2,5,1,1,4,1,4,4,4,4,4,2, , , , , , ,4,4,4,4,4,4,2, , , , , , ,1, , , , , , , , , , ,12,13, , ,1,2,3, , ,1, , , , , , ,2,3, ,5, , ,2, , ,5,1,4,4,4,9,9,9,4,9,3,3,1, ,3, , , , , , ,10, , , ,2,1,1,2, ,2,1, , , ,4, , , ,2,27707,PAC 3,YES,-78925000,35992000
22,2,9,9,9,3,3,2,1,1,1,4,4,3,4,4,4,9,5,9,9,9,1,9,9,22,9,8,3,9,2,2,3,4,5,5, , , , , , , , , ,10,9,9,9,9,9,9,5,5,2,3,2,2,2,9,9,2,9,9,9,2,1,2,2,2,9,4,4,4,2,9,2,9,2,2,4,4,2,2,3,9,2,9,4,4,9,2,4,3,8,7,2,1,9,9,1,4,9,9,9,4,4,9,9,9,9,5,4,6,3,1,2,1,5,2, , , , , ,2, , , , , , ,2,3,1,9,2,9,1,2,4,4,4,4,2,1, , , , , , , , , , , , , , ,1,2, , ,5,1,2,3, , , ,1,2, , , ,6,1,2,3, , ,2,4,4,3,4,2,2,4,3,4,4,1,2, , , , , , , ,10, , , ,1,3,1,1, ,1,2, , ,3, , , , ,4,27712, ,NO,-78962000,36090000
23,2,2,4,9,9,9,2,4,9,2,2,4,4,4,4,4,4,9,9,9,3,2,9,9,1,22,2,3,3,2,2,2,4,5,2, , , ,4, , , , , , ,9,9,9,9,9,9,5,4,3,2,9,9,4,4,4,9,3,2,1,1,1,2,4,4,4,9,9,2,4,4,4,9,1,9,4,4,4,3,3,3,2,1,9,3,9,3,4,8,5,4,2,2,9,9,2,4,5,5,5,9,9,4,4,4,9,2,4,3,6,1,5,1,4,1,2,4,3,2,3,1,4,4,4,4,4,4,3,4,4,2,3,3,2, , , , , , , , , , , , , , , ,10, ,12,13, , ,1, , , ,5, , , , ,5,6,1, , ,4, , ,1, , , ,5,2,2,3,3,2,1,2,3,3,2,3, , , , , ,6, , ,9,10, , , ,3,1,1,1, ,1,2, , , ,4, , , ,3,27703,PAC 1,YES,-78797000,35981000
24,3,4,4,4,5,4,3,4,9,9,3,3,3,3,3,3,4,5,9,4,4,4,9,9,22,20,2,3,3,2,3,3,4,4,3, , , , ,5, , , , , ,3,3,3,3,4,4,5,4,4,3,9,3,3,3,4,4,4,9,1,2,9,2,9,3,3,3,4,3,3,3,3,3,3,3,3,9,3,4,4,4,4,2,3,3,3,3,1,8,6,5,3,9,9,9,3,4,9,4,9,9,5,9,9,3,3,3,2,4,5,1,6,1,5,2, , , , , ,2, , , , , , ,4,4,4,3,3,5,1,5,5,5,5,5,5, , , ,4, , , , , , ,11,12,13, , ,1, ,3,4, ,1,2, , , ,6, ,2,3, ,5, ,1,2,3, , ,2,5,4,3,4,4,4,5,4,3,4,1, ,3, ,5, ,7, , ,10, , , ,3,45,3,2, ,1,2, ,2, , , , , ,3,27572, ,NO,-78880000,36221000
25,4,3,4,5,5,2,2,4,5,2,2,4,3,9,9,9,9,9,1,2,4,9,9,9,19,22,1,4,3,3,2,3,3,3,3, , , , , , , , , ,10,9,9,9,9,9,9,4,2,9,9,9,9,4,5,4,9,2,9,3,2,1,9,9,9,9,9,9,9,9,9,9,9,3,4,2,2,2,3,9,9,9,9,9,9,9,9,4,1,8,2,4,3,4,9,9,9,9,9,9,9,9,4,9,4,4,2,5,6,4,1,3,1,5,1,2,9,9,9,2,2, , , , , , ,9,9,9,9,9,1,2, , , , , , , , , , , , , , , , , , ,13, , , , , ,4, ,1, , ,4, ,6,1,2, ,4, , , ,2, ,4,5,2,4,4,9,9,9,9,9,9,4,4, , , , ,5,6,7, ,9,10, , , ,3,3,1,1, ,2,1, , , ,4, , , ,1,27705,PAC 3,YES,-78947000,36012000
26,4,4,3,3,4,4,3,2,9,2,3,4,4,3,3,3,3,4,3,3,3,2,3,3,3,22,10,4,4,3,3,4,4,4,3, , , , , , , , , ,10,9,9,9,9,9,9,5,4,3,4,3,4,4,3,3,3,2,3,4,2,1,2,3,4,3,3,3,4,4,9,9,9,2,2,4,4,3,3,4,3,3,2,3,4,9,2,4,2,12,7,2,3,9,9,2,3,4,4,3,2,3,4,4,4,4,1,2,5,3,4,6,2, ,1,4,3,3,2,2,1,2,9,4,9,9,4,2,2,3,3,2,3,1,4,9,4,9,9,4, , , , , , , , , ,10,11,12, , , ,1, ,3, ,5,1,2, ,4, , , ,2,3, ,5, ,1,2, ,4, ,2,4,4,3,4,3,4,4,4,4,3,1, , ,4, ,6, , , ,10, , , ,3,26,2,1, ,1,2, , , ,4, , , ,9,27713,PAC 4,YES,-78926000,35913000
27,4,4,9,2,9,2,1,3,9,9,4,2,9,3,3,3,4,4,9,4,9,9,9,9,6,7,4,3,4,1,2,3,3,4,3, , , , , , , , , ,10,9,9,9,9,9,9,4,4,3,3,9,3,4,3,4,2,3,9,3,2,1,2,4,9,9,3,3,9,9,9,9,9,3,3,4,9,3,3,3,9,3,9,3,3,9,2,1,99, , ,2,9,9,9,3,3,9,9,9,4,3,9,4,3,9,1,2,5,4,3,6,1,5,2, , , , , ,2, , , , , , ,4,3,9,3,3,4,1,4,5,4,4,3,4, , , , , , ,7, , , ,11, , , , ,1,2,3, , , ,2, ,4, ,6, , ,3,4,5, , ,2, ,4,5,2,4,9,4,9,9,4,4,9,4,4, ,2,3, , , , ,8,9, , , , ,1,25,3,2, ,1,2, , , ,4, , , ,9,27712, ,NO,-78889000,36083000
28,2,2,3,5,4,4,4,4,9,5,4,5,4,4,4,3,2,5,9,9,9,1,2,5,1,22,17,4,4,4,2,4,4,5,3, , ,3, , , , , , , ,2,2,4,5,3,3,5,5,3,4,4,4,4,3,3,5,5,3,3,2,1,2,4,4,4,5,5,3,2,9,9,9,3,4,4,5,5,2,3,1,5,9,4,5,9,4,5,5,4,11,2,4,9,9,4,5,5,5,5,9,3,5,5,5,5,2,3,1,6,5,4,1,5,1,4,4,4,4,3,2, , , , , , ,4,4,4,4,3,5,2, , , , , , , , ,3, , ,6,7, , ,10,11, , , , ,1,2, ,4, ,1,2, ,4, , , ,2,3, ,5, ,1,2,3, , ,2,5,5,4,4,2,2,5,5,2,4,1, ,3,4, , ,7, , ,10, , , ,3,10,1,2, ,2,2,1, , , , , , ,3,27713,PAC 4,YES,-78934000,35890000
29,9,9,9,9,9,9,9,9,9,3,3,5,9,9,9,9,4,4,9,9,9,9,9,9,99, , ,9,9,5,4,2,5,5,4, , , , , , , , , ,10,9,9,9,9,9,9,5,5,9,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,99, , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9, ,2, , , , , ,2, , , , , , ,9,9,9,9,9,9,2, , , , , , , , , , , , , , , , , ,12, , , , , ,3,4,5,1,2, , ,5, , ,2,3, ,5, ,1,2,3, , ,2,5,9,9,9,9,5,5,9,5,5,1,2,3,4, , , , , ,10, , , ,4,1,3,2, ,2,1, , , , , ,6,Hispanic,2,27707,PAC 3,YES,-78983000,35947000
30,3,3,9,9,4,4,3,3,9,3,2,3,9,4,4,4,4,5,3,4,3,2,2,3,22,23,11,4,4,3,4,3,4,4,4, , , , ,5, , , , , ,3,2,3,3,2,3,5,5,4,4,9,4,4,3,3,3,3,3,2,2,1,2,4,4,9,3,4,5,4,4,4,4,3,3,2,2,3,3,4,3,2,3,4,4,9,3,3,1,2,7,3,9,9,9,4,4,5,5,5,4,9,4,4,3,3,9,9,9,9,6,9,1,5,1,4,4,4,3,4,1,3,4,4,4,3,4,4,3,9,9,3,4,2, , , , , , ,1, , ,4, , ,7, , ,10,11, ,13, , , , ,3,4,5, ,2, ,4, ,6, ,2,3, ,5, ,1, ,3, ,5,2,5,4,4,4,4,5,4,3,4,5,1,2,3,4, , , , , ,10, , , ,3,40,4,1, ,1,2, , , ,4, , , ,4,27707,PAC 3,YES,-78937000,35964000
31,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,99, , ,5,5,5,5,5,5,5,5, , , , , , , , , ,10,9,9,9,9,9,9,5,5,5,5,5,5,5,5,2,5,5,5,5,2,2,1,5,5,5,5,5,5,5,5,5,5,9,9,5,5,5,5,5,5,5,5,5,5,5,5,5,99, , ,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,9,6,9,9,1,5,1,5,5,5,5,5,2, , , , , , ,5,5,5,5,5,5,2, , , , , , ,1, ,3, , , , ,8,9,10, , , , , , , ,3,4,5, ,2, , , ,6, , ,3, , ,6, , ,3,4,5,2,5,5,5,5,5,5,5,5,5,5,1, , , ,5,6, , ,9,10, , , ,4, ,1,3, ,2,2, ,2, , , , , ,1,27705,PAC 2,YES,-78912000,36024000
32,5,5,4,5,5,5,3,4,4,5,4,4,4,4,4,4,3,4,4,4,3,5,5,5,7,17,21,4,4,4,3,4,4,5,3, , , , , , , , , , ,9,9,9,9,9,9,5,3,2,4,5,4,4,4,4,5,3,4,9,9,9,9,5,5,5,5,5,4,5,4,5,4,4,5,2,9,9,9,4,4,9,9,9,9,9,9,9,99, , ,3,3,9,9,4,4,3,9,9,4,3,9,9,9,9,1,2,4,9,3,9,1,5,1,3,9,4,3,3,1,4,3,3,3,3,3,3,9,4,3,3,3,1,4,4,4,4,3,3, , , , , , , , , , , , ,13, , ,1, , ,4,5, , ,3, ,5,6,1, ,3,4, , , ,2, ,4,5,2,5,5,4,4,4,5,5,5,5,5, , , , , , ,7, , , , , , ,2,25,9,1, ,2,2, , , ,4, , , ,1,27704, ,NO,-78800000,36033000
33,4,4,5,5,5,4,3,5,9,9,3,4,4,3,3,3,3,4,3,3,3,4,3,3,7,12,22,4,4,3,3,4,5,5,2,1, , , , , , , , , ,4,2,4,4,4,4,4,4,3,3,9,9,9,4,4,4,4,4,2,9,9,9,4,4,3,4,3,3,3,3,3,3,4,4,2,9,9,9,3,3,4,4,9,9,9,9,9,1,8,4,4,9,9,9,9,9,4,4,4,4,9,4,4,4,4,3,1,2,4,5,6,1,5,2, , , , , ,2, , , , , , ,9,9,9,9,9,9,2, , , , , , , , , , , , , , , ,10,11, , , , ,1,2, , ,5,1,2,3, , , ,1,2,3, , , ,1,2,3, , ,2,5,4,4,4,4,4,5,4,4,4,1,2, , , ,6, , ,9,10, , , ,2,50,5,1, ,1,2, ,2, , , , , ,9,27704,PAC 2,YES,-78899000,36070000
